--------- beginning of main
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.amrwb.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.flac.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.g711.alaw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.g711.mlaw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.mp3.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.opus.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.raw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.google.vorbis.decoder' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.qcom.video.decoder.avc' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.qcom.video.decoder.avc.low_latency' for video/hevc: codec does not support type
08-08 01:09:42.857 D/VD      (11143): Skipping decoder 'OMX.qcom.video.decoder.avc.secure' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): video/hevc decoder 'OMX.qcom.video.decoder.hevc': width=[96, 8192], height=[96, 8192], hw=true, supports 1512x982=true, supports @120fps=true
08-08 01:09:42.858 D/VD      (11143): video/hevc decoder 'OMX.qcom.video.decoder.hevc.low_latency': width=[96, 8192], height=[96, 8192], hw=true, supports 1512x982=true, supports @120fps=true
08-08 01:09:42.858 D/VD      (11143): video/hevc decoder 'OMX.qcom.video.decoder.hevc.secure': width=[96, 4096], height=[96, 4096], hw=true, supports 1512x982=true, supports @120fps=false
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.qcom.video.decoder.vp9' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.qcom.video.decoder.vp9.low_latency' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.qcom.video.decoder.vp9.secure' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.google.h264.decoder' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.google.h263.decoder' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): video/hevc decoder 'OMX.google.hevc.decoder': width=[2, 4096], height=[2, 4096], hw=false, supports 1512x982=true, supports @120fps=false
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.google.mpeg4.decoder' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.google.vp8.decoder' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): Skipping decoder 'OMX.google.vp9.decoder' for video/hevc: codec does not support type
08-08 01:09:42.858 D/VD      (11143): Selected decoder: c2.qti.hevc.decoder (rateSupported=true)
08-08 01:09:42.858 D/VD      (11143): setupDecoder: 1512x982, decoder=c2.qti.hevc.decoder
08-08 01:09:42.878 D/VD      (11143): Configured with full low-latency
08-08 01:09:42.878 D/VD      (11143): Surface frame rate requested: 120.00001Hz fixed-source
08-08 01:09:42.896 D/VD      (11143): Decoder started: 1512x982 @ 120.00001Hz, surface=Surface(name=null mNativeObject=-5476376659840811184)/@0xc54cb15, valid=true
08-08 01:09:42.898 D/MA      (11143): Decoder configuration committed 1512x982 epoch=1
08-08 01:09:42.902 D/MA      (11143): onDisplayGeometry: 1512x982 @ 0°
08-08 01:09:42.918 D/VD      (11143): First frame: size=74906, header=[00 00 00 01 40 01 0c 01 ff ff 01 60 00 00 03 00], keyframe=true, surface=Surface(name=null mNativeObject=-5476376659840811184)/@0xc54cb15, valid=true
